Model,Time Taken
STT,0.7081884510043892
STT,0.5661539460052154
STT,0.5702139220011304
STT,0.5526070249979966
STT,0.5385911890043644
STT,0.5426938730015536
STT,0.7455886169991572
STT,0.5488173290068517
STT,0.5719448010058841
STT,0.5358027379988926
STT,0.544784988000174
STT,0.5352092809989699
STT,0.5444513179973001
STT,0.5427199299956555
STT,0.5397964520016103
STT,0.5518693520061788
STT,0.5191002240026137
STT,0.5493958389997715
STT,0.5569535239992547
STT,0.5431350879953243
STT,0.5602447159981239
STT,0.5349980289975065
STT,0.8466571850001401
STT,0.5463018820000798
STT,0.5292248529999597
STT,0.5231274230000054
STT,0.5414340480001556
STT,0.5227843019999909
STT,0.5248018330000832
STT,0.5265832879999834
STT,0.5360863450000579
STT,0.5345953500000178
STT,0.6291785119999531
STT,0.5712805919999937
STT,1.1323180800000046
STT,4.372825053000042
STT,2.7251459510000586
STT,0.5440496369999437
STT,0.7073267570012831
STT,0.7653697720015771
STT,0.5298498029987968
STT,0.549032865998015
STT,0.5265669439977501
STT,0.5412474750010006
STT,0.5291390220008907
STT,0.5251195519995235
STT,0.5276358690025518
STT,0.5404769109991321
STT,0.5495195500006957
STT,0.5244811010015837
STT,0.5778503760011517
STT,1.0860961139987921
STT,0.513809410000249
STT,0.5546998439967865
STT,0.7496305399981793
STT,0.5272013879985025
STT,0.5259800610001548
STT,0.5245955520003918
STT,0.5327200619976793
STT,0.5360524030002125
STT,0.5396627510017424
STT,0.5423757930002466
STT,0.5893211420006992
STT,0.6474738819997583
STT,0.5499546530008956
STT,1.634317601001385
STT,0.6160664800008817
STT,0.5389104160021816
STT,36.9529999999977
STT,3.561999999998079
STT,91.2029999999977
STT,10.187000000001717
STT,40.36000000000058
STT,79.93800000000192
STT,44.31299999999828
STT,12.046999999998661
STT,2.312000000005355
STT,1.6719999999913853
STT,1.8440000000118744
STT,2.014999999984866
STT,2.062000000034459
STT,1.6880000000237487
STT,4.264999999999418
STT,3.6410000000032596
STT,3.6409999999996217
STT,34.68699999999808
STT,15.7970000000023
STT,1.9059999999990396
STT,5.202999999997701
